zip_cd,year_month,x_axis,y_axis,sex,age,job_majorc,job_smallc,job_public,job_profession,job_self,job_none,job_other,avg_income,med_income,avg_spend,avg_foreign_spend,avg_debt,avg_debt_credit,avg_debt_noneb,avg_debt_mortgage,avg_debt_deposit,avg_debt_collateral,avg_credit_rat,medium_resid_rat,large_resid_rat,vehicle_own_rat
63299,201902,126.56588909761999,33.513209588095,1,54,0.0,0.166667,0.0,0.0,0.166667,0.5,0.166667,37188000,33000000,2611619,0,24285196,11419148,8863595,55550000,0,55550000,5,-999999.0,-999999.0,0.0
63560,201902,126.49712061023001,33.247224851705,1,59,0.0,0.125,0.0,0.0,0.375,0.5,0.0,35378000,32000000,1987726,0,108571077,25896955,13317443,0,200000000,74421721,4,-999999.0,-999999.0,0.0
63560,201902,126.49712061023001,33.247224851705,2,49,0.0,0.25,0.0,0.0,0.125,0.625,0.0,32119000,34000000,3529667,172405,26424335,12015311,12015311,40833359,0,40833359,2,-999999.0,-999999.0,0.0
63560,201902,126.49712061023001,33.247224851705,1,54,0.0,0.181818,0.090909,0.090909,0.363636,0.272727,0.0,64746000,68200000,4868477,12046,647716901,39952556,21558153,36697792,0,706300496,4,-999999.0,-999999.0,0.166667
63560,201902,126.49712061023001,33.247224851705,1,49,0.0,0.25,0.0,0.0,0.25,0.5,0.0,29578000,29700000,5209689,0,248232725,35712501,5568751,0,0,626810674,5,-999999.0,-999999.0,0.0
63560,201902,126.49712061023001,33.247224851705,2,39,0.0,0.125,0.0,0.125,0.125,0.625,0.0,35110000,32500000,4391377,98035,24987322,24987322,5474845,0,0,0,2,-999999.0,-999999.0,0.0
63560,201902,126.49712061023001,33.247224851705,1,64,0.0,0.090909,0.0,0.0,0.181818,0.636364,0.090909,52247000,37000000,2072976,0,688153479,13500000,1272316958,1192316958,0,1272316958,4,-999999.0,-999999.0,0.0
63560,201902,126.49712061023001,33.247224851705,1,44,0.0,0.3,0.1,0.0,0.2,0.4,0.0,62822000,52000000,35279651,657510,190536729,81524557,17031310,107910000,5000000,278042709,3,-999999.0,-999999.0,0.181818
63539,201902,126.43490004645001,33.260916587742,1,54,0.090909,0.181818,0.0,0.0,0.454545,0.181818,0.090909,42894000,38000000,3876721,272406,172484068,51619322,80818802,158547148,0,157776509,4,-999999.0,-999999.0,0.090909
63539,201902,126.43490004645001,33.260916587742,1,44,0.0,0.125,0.0,0.0,0.625,0.125,0.125,34611000,33500000,5100897,209846,269122672,45773200,154660568,423001325,0,388694877,5,-999999.0,-999999.0,0.0
63539,201902,126.43490004645001,33.260916587742,1,49,0.0,0.272727,0.0,0.0,0.363636,0.272727,0.090909,33608000,35000000,6624304,129140,71229614,26636095,61941362,97500000,0,124801844,5,-999999.0,-999999.0,0.07142899999999999
63539,201902,126.43490004645001,33.260916587742,1,29,0.0,0.428571,0.0,0.0,0.0,0.571429,0.0,28397000,28000000,2591076,1114611,21589918,19831020,7079876,0,0,0,5,-999999.0,-999999.0,0.0
63059,201902,126.41823472196998,33.467606856061,2,39,0.0,0.375,0.0,0.0,0.125,0.5,0.0,37996000,34000000,6946280,84468,21657927,22881263,14915039,0,0,0,3,-999999.0,-999999.0,0.0
63059,201902,126.41823472196998,33.467606856061,1,34,0.0,0.25,0.0,0.0,0.0,0.75,0.0,32767000,29800000,7916420,30717,19891592,19595910,9602025,0,0,0,5,-999999.0,-999999.0,0.0
63059,201902,126.41823472196998,33.467606856061,2,34,0.0,0.5,0.0,0.0,0.0,0.5,0.0,28352000,29000000,5542658,71591,52471048,9364942,5991396,93127464,0,83751643,4,-999999.0,-999999.0,0.0
63059,201902,126.41823472196998,33.467606856061,1,39,0.090909,0.181818,0.0,0.0,0.272727,0.363636,0.090909,41231000,39500000,6381938,187319,115529970,15899221,50817582,202318110,2139948,139833055,4,-999999.0,-999999.0,0.25
